Source,Target,Type,Weight,cooc,npmi,jaccard,surprise,is_new
t:a席,t:お子様,Undirected,1.0,2,1.0,1.0,-1.0,False
t:a席,t:招待,Undirected,1.0,2,1.0,1.0,-1.0,False
t:a席,t:歳以下,Undirected,1.0,2,1.0,1.0,-1.0,False
t:お子様,t:招待,Undirected,1.0,2,1.0,1.0,-1.0,False
t:お子様,t:歳以下,Undirected,1.0,2,1.0,1.0,-1.0,False
t:招待,t:歳以下,Undirected,1.0,2,1.0,1.0,-1.0,False
t:ピーターパン,t:体験支援事業,Undirected,1.0,2,1.0,1.0,-1.0,False
t:ピーターパン,t:子供舞台芸術鑑賞,Undirected,1.0,2,1.0,1.0,-1.0,False
t:体験支援事業,t:子供舞台芸術鑑賞,Undirected,1.0,2,1.0,1.0,-1.0,False
t:創出,t:食文化ストーリー,Undirected,1.0,2,1.0,1.0,-1.0,False
t:プラットフォーム,t:伊藤学司,Undirected,1.0,2,1.0,1.0,-1.0,False
t:クリエーター支援基金,t:進捗報告会,Undirected,1.0,2,1.0,1.0,-1.0,False
t:フォーラム,t:九州沖縄,Undirected,1.0,2,1.0,1.0,-1.0,False
t:フォーラム,t:地域連携,Undirected,1.0,2,1.0,1.0,-1.0,False
t:九州沖縄,t:地域連携,Undirected,1.0,2,1.0,1.0,-1.0,False
t:iPod,t:案提示,Undirected,1.0,2,1.0,1.0,-1.0,False
t:iPod,t:補償金,Undirected,1.0,2,1.0,1.0,-1.0,False
t:案提示,t:補償金,Undirected,1.0,2,1.0,1.0,-1.0,False
t:持ち掛ける,t:試算,Undirected,1.0,2,1.0,1.0,-1.0,False
t:カードラリー,t:北前船,Undirected,1.0,2,1.0,1.0,0.0,False
t:室内,t:楽団,Undirected,1.0,2,1.0,1.0,-1.0,False
t:修理現場,t:文化財建造物,Undirected,1.0,2,1.0,1.0,-1.0,False
t:レポーター,t:今井春花,Undirected,1.0,2,1.0,1.0,-1.0,False
t:再審査,t:江差,Undirected,1.0,2,1.0,1.0,-1.0,False
t:再審査,t:認定継続,Undirected,1.0,2,1.0,1.0,-1.0,False
t:江差,t:認定継続,Undirected,1.0,2,1.0,1.0,-1.0,False
t:年モクチャウ,t:週間,Undirected,1.0,2,1.0,1.0,1.0,True
t:今秋,t:作品,Undirected,1.0,2,1.0,1.0,-1.0,False
t:今秋,t:箇所,Undirected,1.0,2,1.0,1.0,-1.0,False
t:今秋,t:若冲,Undirected,1.0,2,1.0,1.0,-1.0,False
t:作品,t:箇所,Undirected,1.0,2,1.0,1.0,-1.0,False
t:作品,t:若冲,Undirected,1.0,2,1.0,1.0,-1.0,False
